Interview ID;Scenario;R.SA.1;R.SA.2;R.SA.3;R.SA.4.1;R.SA.4.2;R.SA.5.1;R.SA.5.2;R.SA.6.1;R.SA.6.2;R.SA.7;R.SA.8;R.SK.1;R.SK.2;R.SK.3;R.SK.4;R.SK.5;R.SK.6;R.SK.7;R.SK.8;R.SK.9;R.SK.10.1;R.SK.10.2;R.SK.11.1;R.SK.11.2;R.SK.12.1;R.SK.12.2;HAL_1
1fa79326-df01-46c6-b09a-582a6f7396a9;Salon;B14;;;;AD14,AF14,AH14,AJ14;X14;Z14,AX14;J14;;L14,N14,P14,R14;;;;;;;;;;;;;;;;;
55e944c3-0821-491c-be8c-daccf374e827;Salon;B21,AF21,AH21,AJ21;;N21,P21;;AP21;R21,AX21;X21;D21,F21,H21,AR21,AT21;;;;;;;;;;;;;;;;;;;
5ef30849-40da-4787-aea5-6ce30d8316b0;Salon;B12,F12;AN12;;AL12;AH12;AD12;AF12;R12;;Z12;X12;;;;;;;;;;;;;;;;
62eae299-e773-4cb1-8873-915c1b853e58;Salon;B18,R18,V18;N18;;;J18;F18;H18;P18,AB18;;D18;;;;;;;;;;;;;;;;;AN18
77b8b3ae-8c49-4ef3-9cc7-81965d1ab986;Salon;D3;L3,AL3;R3,AH3;V3,X3;Z3,AB3,AD3,AJ3;;;B3;;F3,N3,AF3;;;;;;;;;;;;;;;;;
959a0116-b74b-40bb-93a5-2e302ebe719b;Salon;B20;D20;;T20,AD20;AB20,AF20;V20;X20;N20;;AH20;L20;;;;;;;;;;;;;;;;
d08c455a-35cc-43ce-aaf2-ddae7520e4ff;Salon;B9,AR9;D9;;AV9;N9,BF9;V9,X9;Z9;H9;;J9;;;;;;;;;;;;;;;;;
e1edb050-9f6a-489e-9bb5-250273d9bd1d;Salon;B13,D13;AF13;T13,AL13;;AJ13,BD13;V13,X13;;AT13;;R13,AP13;;;;;;;;;;;;;;;;;
fdd53def-9dcc-4ccf-9890-ab3ebef859e1;Salon;B19,V19;;;;AB19;BH19;;;;BF19;;;;;;;;;;;;;;;;;
3a6077fa-20e9-4eb9-b590-00e5dde74ca3;Ski;;;;;;;;;;;;B8,D8;J8,X8,AP8;;V8,AT8;Z8,AR8;T8;F8,AN8;;;H8,P8,AB8;R8;;;L8;;
3cca3e81-59a7-4543-97dc-5b4f945d3326;Ski;;;;;;;;;;;;B17,D17;J17,L17,AL17;V17,AN17;AD17,AF17,AH17,AJ17;Z17,AB17;F17,H17;P17,R17,T17;;;X17;;;;;;
447f8927-ecf4-4fe5-8396-f3ed2cf84f75;Ski;;;;;;;;;;;;AD7;Z7;B7,AB7;V7;P7;T7;AF7;;;D7;F7,R7;;;;;
46515d9e-58ad-487d-9eb9-23584a9c987b;Ski;;;;;;;;;;;;B4;AD4;J4,L4;N4,V4,X4,AB4;AF4,AH4;D4,F4;R4,T4;;;AL4,BD4;;;;BB4;AJ4;
4fdb024f-c213-4091-9567-bcb80e822990;Ski;;;;;;;;;;;;B11,R11,T11;P11;J11,Z11,AV11,AZ11;;N11;D11,F11,V11,X11;;AD11,BB11;AL11;L11,AX11;;;;H11;AJ11,BH11;BD11
5012efc8-c30a-4922-b54e-d9fe8ef3356e;Ski;;;;;;;;;;;;D15,AD15;L15;P15,Z15,AL15;R15,X15;N15;F15,H15;J15;V15;;B15;AH15;;AN15;;AF15;
5267f55a-9337-49b3-9747-d05c69c877f0;Ski;;;;;;;;;;;;D6;AD6;B6,L6,AF6;J6,AP6,AX6;AB6;F6,H6;AH6;N6,P6,AL6;BB6;Z6;;AZ6;;AJ6;AN6,BH6;BF6
5ef11a7f-45af-4e3a-8399-2cfb469c5253;Ski;;;;;;;;;;;;B2;L2,N2;D2;X2;BD2;;AX2;Z2;F2;P2;;;;T2;;
9b79199f-6e38-4234-8be6-1bfa7068bfa1;Ski;;;;;;;;;;;;B22;J22,V22;AF22,AH22;T22;X22,AB22;D22,F22;H22;AJ22,AL22,AN22,AP22;AX22;P22;R22;AZ22;;;;
ba13038b-352a-4fd1-a2bc-78828412ab09;Ski;;;;;;;;;;;;Z5;D5,H5;X5;AD5;;;AB5;;;;;B5;;AF5;V5,AR5;
ed345832-0cec-4695-8f89-7eeb230076bd;Ski;;;;;;;;;;;;B16;;X16;;R16,V16;D16;N16;;;AH16,AJ16;L16,AB16,AD16;;J16;;;
ef90e0df-81db-44b1-a004-c3c5287eff60;Ski;;;;;;;;;;;;;AP10,AR10,AT10;B10,F10;;BD10,BF10;;J10;;;R10;Z10,AB10;AL10;AJ10;D10;H10;
