Interview ID,Scenario,HAL_1,HAL_2,HAL_3,HAL_4,HAL_5,R.SA.1,R.SA.2,R.SA.3,R.SA.4.1,R.SA.4.2,R.SA.5.1,R.SA.5.2,R.SA.6.1,R.SA.6.2,R.SA.7,R.SA.8,R.SK.1,R.SK.10.1,R.SK.10.2,R.SK.11.1,R.SK.11.2,R.SK.12.1,R.SK.12.2,R.SK.2,R.SK.3,R.SK.4,R.SK.5,R.SK.6,R.SK.7,R.SK.8,R.SK.9
1fa79326-df01-46c6-b09a-582a6f7396a9,Salon,,,,,,B14,,,,,X14,Z14,,,,,,,,,,,,,,,,,,,
3a6077fa-20e9-4eb9-b590-00e5dde74ca3,Ski,H8,BB8,,,,,,,,,,,,,,,"B8,D8",P8,R8,,,,,,,,Z8,T8,F8,,
3cca3e81-59a7-4543-97dc-5b4f945d3326,Ski,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F17,H17",P17,,
447f8927-ecf4-4fe5-8396-f3ed2cf84f75,Ski,AH7,,,,,,,,,,,,,,,,AD7,D7,"F7,R7",,,,,,,,P7,T7,,,
46515d9e-58ad-487d-9eb9-23584a9c987b,Ski,,,,,,,,,,,,,,,,,B4,,,,,,,AD4,,,,"D4,F4",,,
4fdb024f-c213-4091-9567-bcb80e822990,Ski,BD11,,,,,,,,,,,,,,,,,,,,,,,,,,,"D11,F11,V11,X11",,,AL11
5012efc8-c30a-4922-b54e-d9fe8ef3356e,Ski,,,,,,,,,,,,,,,,,,B15,AH15,,,,,L15,,,N15,"F15,H15",,,
5267f55a-9337-49b3-9747-d05c69c877f0,Ski,V6,X6,AF6,AL6,BF6,,,,,,,,,,,,D6,Z6,,AZ6,,,AN6,,"B6,L6",J6,,"F6,H6",AH6,,BB6
55e944c3-0821-491c-be8c-daccf374e827,Salon,AB21,AD21,AP21,,,,,P21,,,"AX21,R21",X21,,,,,,,,,,,,,,,,,,,
5ef11a7f-45af-4e3a-8399-2cfb469c5253,Ski,,,,,,,,,,,,,,,,,B2,,,,,,,N2,,X2,BD2,,,,F2
5ef30849-40da-4787-aea5-6ce30d8316b0,Salon,D12,AP12,AR12,,,B12,,,,AH12,AD12,AF12,,,Z12,X12,,,,,,,,,,,,,,,
62eae299-e773-4cb1-8873-915c1b853e58,Salon,L18,AN18,,,,B18,,,,J18,F18,H18,,,,,,,,,,,,,,,,,,,
77b8b3ae-8c49-4ef3-9cc7-81965d1ab986,Salon,AL3,,,,,,L3,,,,,,B3,,,,,,,,,,,,,,,,,,
959a0116-b74b-40bb-93a5-2e302ebe719b,Salon,AL20,,,,,,,,,,V20,X20,,,,L20,,,,,,,,,,,,,,,
9b79199f-6e38-4234-8be6-1bfa7068bfa1,Ski,,,,,,,,,,,,,,,,,B22,P22,R22,,,,,J22,AF22,T22,,"D22,F22",H22,,AX22
ba13038b-352a-4fd1-a2bc-78828412ab09,Ski,F5,H5,J5,AR5,,,,,,,,,,,,,Z5,,,,,,,D5,,AD5,,,AB5,,
d08c455a-35cc-43ce-aaf2-ddae7520e4ff,Salon,,,,,,B9,,,,BF9,V9,Z9,H9,,,,,,,,,,,,,,,,,,
e1edb050-9f6a-489e-9bb5-250273d9bd1d,Salon,,,,,,"B13,D13",,AL13,,AJ13,,,,,"AP13,R13",,,,,,,,,,,,,,,,
ed345832-0cec-4695-8f89-7eeb230076bd,Ski,L16,P16,,,,,,,,,,,,,,,,,"AB16,AD16",,J16,,,,,,,,N16,,
ef90e0df-81db-44b1-a004-c3c5287eff60,Ski,,,,,,,,,,,,,,,,,,,Z10,,AJ10,,,AT10,,,,,,,
fdd53def-9dcc-4ccf-9890-ab3ebef859e1,Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
