Interview ID;Scenario;R.SA.1;R.SA.2;R.SA.3;R.SA.4.1;R.SA.4.2;R.SA.5.1;R.SA.5.2;R.SA.6.1;R.SA.6.2;R.SA.7;R.SA.8;R.SK.1;R.SK.2;R.SK.3;R.SK.4;R.SK.5;R.SK.6;R.SK.7;R.SK.8;R.SK.9;R.SK.10.1;R.SK.10.2;R.SK.11.1;R.SK.11.2;R.SK.12.1;R.SK.12.2;HAL_1;HAL_2;HAL_3;HAL_4;HAL_5
1fa79326-df01-46c6-b09a-582a6f7396a9;Salon;;;;;;;Z14;;;;;;;;;;;;;;;;;;;;;;;;
55e944c3-0821-491c-be8c-daccf374e827;Salon;;;P21;;;;X21;;;;;;;;;;;;;;;;;;;;AB21;AD21;AP21;;
5ef30849-40da-4787-aea5-6ce30d8316b0;Salon;B12;;;;AH12;;AF12;;;Z12;X12;;;;;;;;;;;;;;;;D12;AP12;AR12;;
62eae299-e773-4cb1-8873-915c1b853e58;Salon;B18;;;;J18;;H18;;;;;;;;;;;;;;;;;;;;L18;AN18;;;
77b8b3ae-8c49-4ef3-9cc7-81965d1ab986;Salon;;L3;R3;;;;;B3;;AF3;;;;;;;;;;;;;;;;;AL3;;;;
959a0116-b74b-40bb-93a5-2e302ebe719b;Salon;;;;;;V20;X20;;;;L20;;;;;;;;;;;;;;;;AL20;;;;
d08c455a-35cc-43ce-aaf2-ddae7520e4ff;Salon;;;;;BF9;;;;;;;;;;;;;;;;;;;;;;;;;;
e1edb050-9f6a-489e-9bb5-250273d9bd1d;Salon;B13;;;;AJ13;;;;;;;;;;;;;;;;;;;;;;;;;;
fdd53def-9dcc-4ccf-9890-ab3ebef859e1;Salon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a6077fa-20e9-4eb9-b590-00e5dde74ca3;Ski;;;;;;;;;;;;B8,D8;AP8;;;Z8;;;;;P8;R8;;;;;H8;BB8;;;
3cca3e81-59a7-4543-97dc-5b4f945d3326;Ski;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
447f8927-ecf4-4fe5-8396-f3ed2cf84f75;Ski;;;;;;;;;;;;;;;;P7;;;;;D7;R7;;;;;AH7;;;;
46515d9e-58ad-487d-9eb9-23584a9c987b;Ski;;;;;;;;;;;;;AD4;;;;;;;;;;;;;;;;;;
4fdb024f-c213-4091-9567-bcb80e822990;Ski;;;;;;;;;;;;R11;;;;;;;;;;;;;;;BD11;;;;
5012efc8-c30a-4922-b54e-d9fe8ef3356e;Ski;;;;;;;;;;;;;;;R15;N15;;;;;B15;AH15;;;;;;;;;
5267f55a-9337-49b3-9747-d05c69c877f0;Ski;;;;;;;;;;;;;;L6;;;;;;;;;AZ6;;;AN6;V6;X6;AF6;AL6;BF6
5ef11a7f-45af-4e3a-8399-2cfb469c5253;Ski;;;;;;;;;;;;;;;X2;;;;;;;;;;;;;;;;
9b79199f-6e38-4234-8be6-1bfa7068bfa1;Ski;;;;;;;;;;;;;J22;AF22;;;;;;AX22;P22;;AZ22;;;;;;;;
ba13038b-352a-4fd1-a2bc-78828412ab09;Ski;;;;;;;;;;;;Z5;;;;;;;;;;;;;;;F5;H5;J5;AR5;
ed345832-0cec-4695-8f89-7eeb230076bd;Ski;;;;;;;;;;;;;;;;;;;;;;;;;;;L16;P16;;;
ef90e0df-81db-44b1-a004-c3c5287eff60;Ski;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
